country,iso_code,positive_category,notes
Argentina,AR,Medical Positive,Patients can home grow with prescription
Australia,AU,Decriminalized,Medical legal federally; Canberra allows limited home grow
Austria,AT,Decriminalized,Personal possession decriminalized
Barbados,BB,Decriminalized,Small amounts decriminalized; religious exemptions proposed
Belgium,BE,Home Grow Allowed,1 plant per adult permitted
Bosnia and Herzegovina,BA,Medical Positive,Medical cannabis legalized via parliamentary approval (2026)
Brazil,BR,2026 Reform,Medical cultivation authorized for companies & patients (Jan 2026)
Canada,CA,Full Legalization,Fully legal nationwide; up to 4 plants at home
Chile,CL,Medical Positive,Registered patients can home grow
Colombia,CO,Medical Positive,Major medical exporter; home grow for registered patients
Czechia (Czech Republic),CZ,2026 Reform / Full Legalization,Adults 21+ can grow 3 plants & possess 100g at home (Jan 2026)
Denmark,DK,Medical Only,Medical cannabis pilot program active
Estonia,EE,Decriminalized,Fines for personal possession
European Union (as observer),EU,Future Positive (2027),Proposal to recognize hemp flowers as CAP agricultural products (€550B subsidies)
Finland,FI,Decriminalized,Personal use decriminalized (fines)
France,FR,Future Positive (2027),Full medical program planned for 2027; study recommends adult-use legalization
Germany,DE,Full Legalization,Home cultivation (3 plants) & non-profit clubs legal
Ghana,GH,2026 Reform,Cannabis Regulatory Programme launched (Feb 2026) for ≤0.3% THC
Greece,GR,2026 Reform,Industrial hemp THC limit raised to 0.3%
India,IN,Future Positive (Discussion),State-level pilots developing (Uttarakhand, MP, HP)
Ireland,IE,Medical Only,Medical access program (restrictive)
Israel,IL,Medical Positive,Major medical exporter; recreational decriminalized
Italy,IT,Decriminalized,Personal possession decriminalized (administrative penalties)
Jamaica,JM,Home Grow Allowed,Rastafarian religious cultivation rights; personal possession decriminalized
Latvia,LV,Decriminalized,Small amounts decriminalized (fines)
Lithuania,LT,Decriminalized,Small amounts decriminalized (fines)
Luxembourg,LU,Home Grow Allowed,Home cultivation legal (up to 4 plants); no commercial sales
Malta,MT,Home Grow Allowed,Home cultivation legal (up to 4 plants); non-profit associations allowed
Mexico,MX,Decriminalized / Future Positive,Supreme Court decriminalized cultivation; full legalization bill pending
Netherlands,NL,Tolerated,Coffee shop sale tolerated; production gray area (no home grow)
New Zealand,NZ,2026 Reform,THC limit raised to <1%; licensing removed for industrial hemp (2026)
Peru,PE,Medical Positive,Registered patients can home grow
Philippines,PH,Future Positive (Discussion),Medical pilot under consideration by current administration
Poland,PL,Medical Only,Medical cannabis legal; EU-driven reforms possible 2027
Portugal,PT,Decriminalized,All drugs decriminalized since 2001 (no home grow)
South Africa,ZA,Home Grow Allowed,Constitutional Court legalized private cultivation & consumption
Spain,ES,Home Grow Allowed,Private consumption & non-profit clubs tolerated
Switzerland,CH,Decriminalized / Future Positive,Adult-use pilot trials underway; results due mid-2026
Thailand,TH,Decriminalized,Medical license required for home grow; re-reform debates ongoing
Ukraine,UA,Future Positive (2026-2027),Medical cannabis legalized (Aug 2024); industrial hemp expansion planned
United Arab Emirates,AE,2026 Reform,New federal law legalizes industrial hemp (0.3% THC) for licensed cultivation (2026)
United Kingdom,GB,Medical Only,Medical cannabis by specialist prescription only (very restrictive)
United States (Federal),US,Full Legalization (select states),Federal prohibition but 24 states have legalized recreationally
Uruguay,UY,Full Legalization,First nation to fully legalize (2013); up to 6 plants at home
Zimbabwe,ZW,Future Positive (2027),Medical cannabis licensing active; industrial hemp framework planned 2027